devid,pid,time,diff,data,rawdata,validity
09,3330,16:58:42:28,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000d02f4f4f4f4f4f4f4f4fedd,valid
02,165049,16:58:42:32,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284b9f4f4f4f4f4f4f4f4fe79,valid
04,164899,16:58:42:35,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff04028423f4f4f4f4f4f4f4f4feb3,valid
05,165224,16:58:42:38,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff05028568f4f4f4f4f4f4f4f4feff,valid
07,3254,16:58:42:49,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000cb6f4f4f4f4f4f4f4f4fe7d,valid
,0,16:58:42:66,0s,,337e001a90007d33a2004127184c936a01ff0a000331f4f4f4f4f4f4f4f4fe,invalid
03,164567,16:58:42:72,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282d7f4f4f4f4f4f4f4f4fe57,valid
08,3327,16:58:42:75,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cfff4f4f4f4f4f4f4f4fe29,valid
01,164788,16:58:42:78,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283b4f4f4f4f4f4f4f4f4fe26,valid
09,3331,16:58:42:81,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000d03f4f4f4f4f4f4f4f4fedc,valid
02,165050,16:58:42:85,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284baf4f4f4f4f4f4f4f4fe78,valid
